,Date,Name / Description,Expense/Income,Amount (EUR),Transaction,Category
61,2022-01-05 21:40:02.629169,Wedding Gift,Expense,484.43,,
62,2022-01-06 00:54:18.960206,Video Game,Income,297.24,Video Game,Entertainment
63,2022-01-06 01:42:53.739039,Home Cleaning,Income,34.16,Home Cleaning,Maintenance
64,2022-01-06 02:10:32.790429,Window Cleaning,Expense,466.97,,
65,2022-01-06 04:28:04.561384,Mortgage Payment,Income,109.77,,
66,2022-01-06 04:50:27.459492,Fishing License,Expense,165.11,,
67,2022-01-06 06:23:27.651696,Online Shopping,Expense,451.93,,
68,2022-01-06 07:33:01.203361,Monthly Rent,Expense,189.34,Monthly Rent,Rent
69,2022-01-06 08:35:40.694091,ATM Fee,Income,108.69,,
70,2022-01-06 09:59:42.472505,Income Tax Payment,Income,217.75,,
71,2022-01-06 16:11:03.860486,Charity Event,Income,141.24,Charity Event,Charity
72,2022-01-06 17:37:31.422152,Property Tax,Expense,67.26,,
73,2022-01-06 20:28:24.482219,Luxury Car Lease,Expense,350.74,Luxury Car Lease,Travel
74,2022-01-06 23:32:19.490137,Amazon Purchase,Expense,445.57,Amazon Purchase,Shopping
75,2022-01-07 01:49:37.343664,Outdoor Equipment,Income,91.75,,
76,2022-01-07 03:17:30.875727,Pet Grooming,Expense,365.39,Pet Grooming,Pet Care
77,2022-01-07 04:17:56.442984,Spotify Ab By Adyen,Income,345.77,,
78,2022-01-07 05:22:45.075855,Golf Course,Expense,26.58,Golf Course,Sport and Fitness
79,2022-01-07 11:02:15.858116,Meal Delivery,Income,340.44,Meal Delivery,Food and Drinks
80,2022-01-07 11:04:47.539593,Court Fees,Income,169.64,Court Fees,Legal Expenses
81,2022-01-07 11:12:06.487063,Digital Download,Expense,164.05,Digital Download,Software/Purchases
82,2022-01-07 15:33:52.568141,Wedding Gift,Expense,471.81,,
83,2022-01-07 16:45:44.567423,Spa Package,Income,495.33,Spa Package,Relaxation/Leisure
84,2022-01-07 17:59:13.802274,Pest Control,Income,54.32,Pest Control,Maintenance
85,2022-01-07 18:15:25.131188,Client Meeting Expense,Expense,397.08,Client Meeting Expense,Business Expenses
86,2022-01-07 19:49:13.241615,Coffee Shop,Expense,350.57,Coffee Shop,Food and Drinks
87,2022-01-07 20:23:43.577995,Insurance Payment,Expense,52.91,Insurance Payment,Insurance Premiums
88,2022-01-07 22:19:37.407045,Snowmobile Rental,Income,171.77,Snowmobile Rental,Sport and Fitness
89,2022-01-07 23:35:14.686248,Optometry Visit,Income,288.81,,
90,2022-01-08 00:00:17.745110,Walmart Groceries,Income,289.47,Walmart Groceries,Grocery Shopping
91,2022-01-08 00:32:20.258879,Internet Bill,Income,423.33,Internet Bill,Utilities
92,2022-01-08 02:18:13.960423,Luxury Car Lease,Income,371.58,Luxury Car Lease,Travel
93,2022-01-08 02:27:04.050144,Grocery Delivery,Income,287.4,Grocery Delivery,Food and Drinks
94,2022-01-08 05:04:19.331256,Computer Purchase,Income,90.56,Computer Purchase,Electronics
95,2022-01-08 07:49:43.252371,Coffee Shop,Expense,137.66,Coffee Shop,Food and Drinks
96,2022-01-08 10:56:18.936956,Investment Account,Income,305.76,Investment Account,Investments
97,2022-01-08 11:43:33.073511,Sales Tax,Expense,222.52,Sales Tax,Taxes
98,2022-01-08 14:06:06.190397,Pharmacy,Expense,219.52,Pharmacy,Health and Wellness
99,2022-01-08 14:28:41.376351,Personal Loan Payment,Expense,172.35,Personal Loan Payment,Debt Repayment
100,2022-01-08 14:38:08.073792,Outdoor Equipment,Income,455.09,,
101,2022-01-08 16:41:04.572902,Investment Income,Income,112.28,Investment Income,Investments
102,2022-01-08 16:54:20.328726,Streaming Service,Income,406.01,,
103,2022-01-08 17:04:20.994476,Fitness Equipment,Income,63.45,Fitness Equipment,Home Gym
104,2022-01-08 17:18:43.525059,Video Game,Expense,47.7,Video Game,Entertainment
105,2022-01-08 18:49:12.650927,Optometry Visit,Expense,324.72,,
106,2022-01-08 19:06:50.982497,Netflix Subscription,Expense,384.73,Netflix Subscription,Entertainment
107,2022-01-08 19:23:20.804930,Overdraft Fee,Income,106.29,Overdraft Fee,Banking Fees
108,2022-01-08 20:39:58.928779,Furniture Purchase,Expense,276.23,,
109,2022-01-09 00:03:13.755379,Office Supplies,Income,336.94,Office Supplies,Office Expenses
110,2022-01-09 01:16:47.521988,Freight Shipping,Income,79.82,,
111,2022-01-09 03:05:02.526474,Overdraft Fee,Expense,180.79,Overdraft Fee,Banking Fees
112,2022-01-09 04:08:27.501076,Home Appliance,Income,270.96,,
113,2022-01-09 09:52:15.588038,Video Game,Expense,201.47,Video Game,Entertainment
114,2022-01-09 10:45:18.642466,Landscaping,Income,438.83,Landscaping,Yard Maintenance
115,2022-01-09 10:59:45.229491,Software License,Expense,137.42,Software License,Business
116,2022-01-09 11:00:06.324415,Foreign Transaction Fee,Income,414.12,Foreign Transaction Fee,Credit Card Fees
117,2022-01-09 12:55:19.512424,Tattoo Parlor,Expense,355.83,Tattoo Parlor,Entertainment
118,2022-01-09 14:15:07.583657,Loan Repayment,Expense,64.95,Loan Repayment,Finance
119,2022-01-09 16:02:24.156777,School Supplies,Expense,291.87,School Supplies,Education
120,2022-01-09 17:37:34.308304,Software Subscription,Expense,412.49,Software Subscription,Software/Purchases
121,2022-01-09 19:07:09.372387,Office Supplies,Expense,328.89,Office Supplies,Office Expenses
122,2022-01-09 20:50:46.315582,Home Cleaning,Income,172.28,Home Cleaning,Maintenance
123,2022-01-09 21:17:24.292230,Hardware Store,Income,159.22,Hardware Store,Hardware/Paint
124,2022-01-09 21:27:53.856360,Bank Service Charge,Income,430.3,Bank Service Charge,Banking Fees
125,2022-01-09 21:35:13.392102,Medical Checkup,Expense,274.98,Medical Checkup,Health and Wellness
126,2022-01-09 23:00:03.728624,Tree Trimming,Income,437.98,Tree Trimming,Yard Maintenance
127,2022-01-09 23:53:06.629074,Retirement Contribution,Income,54.25,Retirement Contribution,Savings
128,2022-01-10 00:15:23.179718,Massage Therapy,Expense,474.38,Massage Therapy,Health and Wellness
129,2022-01-10 02:18:35.432626,Phone Accessory,Income,150.65,Phone Accessory,Electronics
130,2022-01-10 04:04:23.108653,Bowling Alley,Expense,493.01,Bowling Alley,Leisure
131,2022-01-10 04:43:14.073929,Vacation Package,Income,278.75,Vacation Package,Travel
132,2022-01-10 07:25:58.556173,Gifts & Cards,Income,475.42,Gifts & Cards,Gifts
133,2022-01-10 07:42:04.087044,Pet Grooming,Expense,192.8,Pet Grooming,Pet Care
134,2022-01-10 10:09:18.787002,Gym Membership,Expense,63.52,Gym Membership,Fitness
135,2022-01-10 11:21:06.538886,Cell Phone Purchase,Expense,121.1,Cell Phone Purchase,Electronics
136,2022-01-10 12:57:16.479529,Fishing License,Income,12.17,,
137,2022-01-10 15:06:43.219091,Savings Deposit,Expense,65.45,Savings Deposit,Savings
138,2022-01-10 16:33:04.506306,Membership Fee,Income,108.44,Membership Fee,Subscriptions
139,2022-01-10 16:46:38.208029,Health Insurance,Expense,417.18,,
140,2022-01-10 21:06:24.658740,Credit Card Payment,Income,443.09,Credit Card Payment,Finance
141,2022-01-10 22:22:28.586905,Netflix Subscription,Income,178.3,Netflix Subscription,Entertainment
142,2022-01-10 22:39:39.534365,Home Appliance,Expense,433.09,,
143,2022-01-10 22:48:07.637745,Investment Income,Income,184.45,Investment Income,Investments
144,2022-01-11 03:11:56.357264,Donation to Charity,Income,315.4,,
145,2022-01-11 06:57:15.872313,Anniversary Gift,Income,301.43,Anniversary Gift,Romance
146,2022-01-11 07:12:34.350101,Moving Service,Expense,463.83,Moving Service,Moving
147,2022-01-11 07:56:22.320064,Grocery Store,Income,115.71,Grocery Store,Food and Drinks
148,2022-01-11 08:12:42.743030,Snow Removal,Income,103.42,Snow Removal,Maintenance
149,2022-01-11 08:38:17.191550,Natural Gas Bill,Expense,58.09,Natural Gas Bill,Utilities
150,2022-01-11 10:34:22.795252,Electrician Service,Income,63.03,Electrician Service,Maintenance
151,2022-01-11 10:57:47.803193,Investment Advisor Fee,Income,402.64,Investment Advisor Fee,Investments
152,2022-01-11 11:20:01.053652,Photography Service,Expense,405.22,,
153,2022-01-11 13:45:34.133695,Online Coaching,Expense,41.88,Online Coaching,Education
154,2022-01-11 14:44:28.091642,Photography Service,Income,362.6,,
155,2022-01-11 17:37:33.315738,Dental Care,Expense,430.24,Dental Care,Health and Wellness
156,2022-01-11 21:25:15.278989,Video Game,Income,158.6,Video Game,Entertainment
157,2022-01-11 22:20:42.121656,Luxury Hotel Stay,Expense,131.3,Luxury Hotel Stay,Travel
158,2022-01-11 23:37:28.456982,Gas Station,Income,334.85,Gas Station,Fuel
159,2022-01-12 04:51:09.639442,Moving Service,Expense,192.89,Moving Service,Moving
160,2022-01-12 09:36:39.647699,Investment Advisor Fee,Expense,197.17,Investment Advisor Fee,Investments
161,2022-01-12 13:18:43.619524,Luxury Hotel Stay,Income,414.94,Luxury Hotel Stay,Travel
162,2022-01-12 14:39:52.467314,ATM Fee,Income,60.07,,
163,2022-01-12 14:42:50.966281,Coffee Shop,Expense,104.66,Coffee Shop,Food and Drinks
164,2022-01-12 16:36:30.974926,Tutoring Services,Income,348.76,Tutoring Services,Education
165,2022-01-12 18:00:12.853067,Subscription Renewal,Income,191.68,Subscription Renewal,Subscriptions
166,2022-01-12 18:28:51.508155,Bicycle Repair,Expense,93.28,Bicycle Repair,Maintenance
167,2022-01-12 19:47:06.189353,Day Spa,Income,170.63,Day Spa,Health and Wellness
168,2022-01-12 20:38:13.437662,Fishing License,Expense,298.27,,
169,2022-01-12 20:42:00.078685,Uber Ride,Income,477.41,Uber Ride,Transportation
170,2022-01-12 21:13:39.462278,Airport Parking,Expense,132.65,Airport Parking,Travel
171,2022-01-12 22:44:54.015188,Parking Fee,Income,382.72,Parking Fee,Transportation
172,2022-01-12 23:15:15.591147,Freight Shipping,Income,6.09,,
173,2022-01-12 23:23:52.539459,Credit Report Fee,Expense,420.59,Credit Report Fee,Finance
174,2022-01-13 01:46:47.016392,Netflix Subscription,Income,149.26,Netflix Subscription,Entertainment
175,2022-01-13 02:13:21.013482,Investment Income,Income,365.28,Investment Income,Investments
176,2022-01-13 08:39:57.596598,Student Loan Payment,Income,349.3,Student Loan Payment,Loans
177,2022-01-13 14:05:52.612870,Prescription Meds,Income,9.63,Prescription Meds,Health and Wellness
178,2022-01-13 16:04:11.888546,Trash Collection,Expense,360.73,Trash Collection,Utilities
179,2022-01-13 16:16:11.334875,Anniversary Gift,Income,278.84,Anniversary Gift,Romance
180,2022-01-13 17:08:24.894397,Lottery Ticket,Income,300.0,Lottery Ticket,Entertainment
181,2022-01-13 17:30:42.652026,Theater Tickets,Expense,144.28,Theater Tickets,Leisure
182,2022-01-13 18:58:07.423745,Bowling Alley,Income,467.33,Bowling Alley,Leisure
183,2022-01-13 20:47:00.149631,Business Expense,Income,189.28,Business Expense,Business
184,2022-01-13 21:00:10.419677,Sporting Goods,Income,311.44,Sporting Goods,Sport and Fitness
185,2022-01-13 21:09:40.282465,Golf Club Membership,Expense,215.7,Golf Club Membership,Sport and Fitness
186,2022-01-13 21:51:01.594125,Medical Checkup,Expense,35.52,Medical Checkup,Health and Wellness
187,2022-01-14 00:03:50.048711,Department Store,Income,242.37,Department Store,Shopping
188,2022-01-14 01:26:40.824907,Firewood,Income,260.28,Firewood,Home Maintenance
189,2022-01-14 04:35:15.874381,Legal Fees,Income,461.1,Legal Fees,Services
190,2022-01-14 09:26:25.637943,Retirement Contribution,Income,425.91,Retirement Contribution,Savings
191,2022-01-14 13:49:30.279691,Roof Repair,Expense,98.48,Roof Repair,Maintenance
192,2022-01-14 14:32:47.670692,Phone Bill,Expense,121.6,Phone Bill,Utilities
193,2022-01-14 15:29:51.573673,Furniture Purchase,Expense,480.55,,
194,2022-01-14 16:18:31.752392,Grocery Store,Expense,126.06,Grocery Store,Food and Drinks
195,2022-01-14 17:02:13.089334,Background Check,Income,217.17,Background Check,Personal Documents
196,2022-01-14 17:46:22.681536,Golf Club Membership,Income,312.84,Golf Club Membership,Sport and Fitness
197,2022-01-14 20:46:04.635642,Electrician Service,Income,36.19,Electrician Service,Maintenance
198,2022-01-14 21:31:34.925642,Digital Download,Expense,224.34,Digital Download,Software/Purchases
199,2022-01-15 07:24:27.416677,Netflix Subscription,Income,59.97,Netflix Subscription,Entertainment
200,2022-01-15 10:18:16.580614,Landscaping,Expense,19.55,Landscaping,Yard Maintenance
201,2022-01-15 11:24:44.197577,Resume Service,Expense,6.59,Resume Service,Career Development
202,2022-01-15 15:47:54.880848,Bank Service Charge,Expense,333.28,Bank Service Charge,Banking Fees
203,2022-01-15 16:37:03.009733,Freight Shipping,Expense,196.33,,
204,2022-01-15 20:57:29.391187,Office Supplies,Expense,269.97,Office Supplies,Office Expenses
205,2022-01-15 22:52:42.887066,Personal Trainer,Income,171.37,Personal Trainer,Fitness
206,2022-01-16 02:46:23.589330,Pharmacy,Expense,167.32,Pharmacy,Health and Wellness
207,2022-01-16 04:23:11.497470,ATM Fee,Expense,257.78,,
208,2022-01-16 09:28:30.577056,Pet Supplies,Income,123.19,Pet Supplies,Pet Care
209,2022-01-16 11:03:12.621255,Software Subscription,Income,215.77,Software Subscription,Software/Purchases
210,2022-01-16 11:08:57.443652,Consulting Income,Expense,374.29,Consulting Income,Side Gig
211,2022-01-16 12:07:01.686897,Job Training Fee,Income,454.85,Job Training Fee,Education
212,2022-01-16 12:29:01.400623,Luxury Purchase,Income,429.97,Luxury Purchase,Hobbies
213,2022-01-16 13:35:20.978320,Subscription Box,Income,190.98,Subscription Box,Subscriptions
214,2022-01-16 15:34:13.234854,Massage Therapy,Income,74.74,Massage Therapy,Health and Wellness
215,2022-01-16 15:51:15.457881,Fitness Equipment,Expense,446.45,Fitness Equipment,Home Gym
216,2022-01-16 17:18:56.199049,Electrician Service,Expense,341.5,Electrician Service,Maintenance
217,2022-01-16 18:55:34.443535,Roof Repair,Income,384.81,Roof Repair,Maintenance
218,2022-01-17 01:33:09.640034,Home Renovation,Expense,245.81,Home Renovation,Home Maintenance
219,2022-01-17 02:55:38.043801,Internet Bill,Income,6.05,Internet Bill,Utilities
220,2022-01-17 03:12:07.109022,Flight Ticket,Income,172.35,,
221,2022-01-17 05:02:56.233335,Bail Bond Payment,Expense,242.25,,
222,2022-01-17 07:48:53.078291,Life Insurance,Income,106.84,Life Insurance,Insurance
223,2022-01-17 09:18:52.737234,Outdoor Equipment,Expense,352.71,,
224,2022-01-17 10:24:11.522670,Dental Care,Expense,300.21,Dental Care,Health and Wellness
225,2022-01-17 12:59:20.179101,Medical Checkup,Income,243.21,Medical Checkup,Health and Wellness
226,2022-01-17 13:30:02.311392,Fishing License,Expense,68.02,,
227,2022-01-17 15:29:49.127573,Garden Center,Expense,128.81,Garden Center,Gardening
228,2022-01-17 17:24:22.017296,Movie Theater,Expense,342.96,Movie Theater,Entertainment
229,2022-01-17 17:36:15.603883,Therapist Session,Income,266.78,Therapist Session,Health and Wellness
230,2022-01-17 17:53:05.196987,Phone Bill,Income,196.25,Phone Bill,Utilities
231,2022-01-17 18:32:18.579895,Computer Purchase,Expense,398.55,Computer Purchase,Electronics
232,2022-01-17 20:27:49.920029,Career Counseling,Expense,196.44,Career Counseling,Career Development
233,2022-01-17 20:52:18.598284,Digital Download,Expense,204.89,Digital Download,Software/Purchases
234,2022-01-18 01:47:12.487392,Student Loan Payment,Income,100.92,Student Loan Payment,Loans
235,2022-01-18 02:10:56.028151,Weekend Getaway,Expense,456.82,Weekend Getaway,Travel
236,2022-01-18 03:23:08.968314,Investment Brokerage Fee,Income,110.79,,
237,2022-01-18 03:41:12.943924,Anniversary Gift,Income,302.92,Anniversary Gift,Romance
238,2022-01-18 06:16:25.742308,Consulting Income,Income,205.18,Consulting Income,Side Gig
239,2022-01-18 06:17:15.900638,Lottery Ticket,Expense,93.37,Lottery Ticket,Entertainment
240,2022-01-18 06:23:53.504710,Wire Transfer Fee,Expense,261.94,Wire Transfer Fee,Banking
241,2022-01-18 07:34:53.562053,Online Shopping,Expense,127.29,,
242,2022-01-18 08:37:26.318455,Resume Service,Income,274.69,Resume Service,Career Development
243,2022-01-18 09:01:26.716828,Notary Service,Income,232.15,Notary Service,Services
244,2022-01-18 10:42:17.602143,Used Car Purchase,Income,157.33,Used Car Purchase,Transportation
245,2022-01-18 12:18:56.440558,Parking Fee,Income,16.44,Parking Fee,Transportation
246,2022-01-18 12:54:00.814244,Insurance Payment,Income,335.96,Insurance Payment,Insurance Premiums
247,2022-01-18 13:48:57.173856,Client Meeting Expense,Income,94.88,Client Meeting Expense,Business Expenses
248,2022-01-18 15:50:38.638926,Course Fees,Expense,147.23,Course Fees,Education
249,2022-01-18 16:09:23.302705,Donation to Charity,Expense,424.61,,
250,2022-01-18 16:10:45.708565,Dental Care,Expense,182.5,Dental Care,Health and Wellness
251,2022-01-18 19:07:39.605314,Garden Center,Expense,413.35,Garden Center,Gardening
252,2022-01-18 23:23:17.136105,Online Marketplace,Expense,372.53,Online Marketplace,E-commerce
253,2022-01-19 00:03:24.301317,Funeral Expenses,Income,448.3,Funeral Expenses,Bereavement
254,2022-01-19 00:15:05.209728,Computer Purchase,Income,117.53,Computer Purchase,Electronics
255,2022-01-19 00:28:10.439853,Garden Center,Income,133.49,Garden Center,Gardening
256,2022-01-19 01:49:25.417320,Electrician Service,Expense,449.96,Electrician Service,Maintenance
257,2022-01-19 01:58:20.475659,Vacation Package,Expense,492.89,Vacation Package,Travel
258,2022-01-19 03:30:29.442287,Hiking Gear,Income,258.31,Hiking Gear,Outdoor Activities
259,2022-01-19 03:51:44.371592,Personal Loan Payment,Expense,373.92,Personal Loan Payment,Debt Repayment
260,2022-01-19 04:05:29.001212,Overdraft Fee,Income,78.8,Overdraft Fee,Banking Fees
261,2022-01-19 10:28:18.034536,Career Counseling,Income,398.47,Career Counseling,Career Development
262,2022-01-19 10:49:04.970144,Side Gig Income,Expense,444.01,Side Gig Income,Side Hustle
263,2022-01-19 11:46:44.895201,Golf Club Membership,Expense,64.6,Golf Club Membership,Sport and Fitness
264,2022-01-19 12:38:35.393311,Hair Salon,Expense,178.85,,
265,2022-01-19 12:48:58.821085,Art Gallery Purchase,Expense,211.25,Art Gallery Purchase,Collectibles
266,2022-01-19 13:32:24.815766,Movie Theater,Expense,372.86,Movie Theater,Entertainment
267,2022-01-19 16:36:05.280742,Online Course,Income,380.99,Online Course,Education
268,2022-01-19 17:18:17.119698,Landscaping,Income,194.06,Landscaping,Yard Maintenance
269,2022-01-19 19:55:20.120967,Cell Phone Purchase,Income,150.47,Cell Phone Purchase,Electronics
270,2022-01-19 21:51:17.134547,Court Fees,Expense,91.95,Court Fees,Legal Expenses
271,2022-01-19 22:24:26.988101,Personal Trainer,Income,330.57,Personal Trainer,Fitness
272,2022-01-20 00:22:27.429522,Subscription Renewal,Expense,144.39,Subscription Renewal,Subscriptions
273,2022-01-20 02:21:50.697800,Streaming Service,Income,232.85,,
274,2022-01-20 03:12:51.520779,Photography Service,Income,457.61,,
275,2022-01-20 05:05:11.131716,Student Loan Payment,Income,195.38,Student Loan Payment,Loans
276,2022-01-20 05:10:49.351099,Event Registration,Expense,273.77,,
277,2022-01-20 06:16:53.101251,Meal Delivery,Expense,106.79,Meal Delivery,Food and Drinks
278,2022-01-20 11:27:21.666215,Massage Therapy,Income,171.92,Massage Therapy,Health and Wellness
279,2022-01-20 11:59:54.759161,Retirement Contribution,Expense,263.65,Retirement Contribution,Savings
280,2022-01-20 13:09:37.556759,Camera Equipment,Income,467.44,Camera Equipment,Photography
281,2022-01-20 13:33:59.351169,Department Store,Expense,310.86,Department Store,Shopping
282,2022-01-20 14:34:37.689924,Movie Theater,Expense,296.5,Movie Theater,Entertainment
283,2022-01-20 21:34:42.640951,Internet Bill,Expense,81.85,Internet Bill,Utilities
284,2022-01-20 21:36:26.421833,Plumbing Service,Income,433.2,,
285,2022-01-20 22:25:49.945946,Trash Collection,Income,145.57,Trash Collection,Utilities
286,2022-01-21 02:29:12.215195,Bowling Alley,Expense,69.69,Bowling Alley,Leisure
287,2022-01-21 04:42:44.000866,Gifts & Cards,Expense,445.72,Gifts & Cards,Gifts
288,2022-01-21 07:39:42.024054,Property Tax,Expense,388.42,,
289,2022-01-21 08:54:40.305057,Electricity Bill,Income,205.94,Electricity Bill,Utilities
290,2022-01-21 09:14:32.770910,Pet Supplies,Expense,260.93,Pet Supplies,Pet Care
291,2022-01-21 09:29:57.600252,Dog Walker,Expense,111.56,Dog Walker,Pet Care
292,2022-01-21 14:00:45.524817,Investment Advisor Fee,Income,298.01,Investment Advisor Fee,Investments
293,2022-01-21 14:22:06.076277,HVAC Maintenance,Expense,297.32,,
294,2022-01-21 16:26:29.978195,Bank Service Charge,Expense,115.34,Bank Service Charge,Banking Fees
295,2022-01-21 17:37:53.273427,Business Supplies,Expense,415.25,Business Supplies,Office Expenses
296,2022-01-21 18:15:15.332152,Water Bill,Income,468.51,Water Bill,Utilities
297,2022-01-21 18:34:53.741981,Streaming Rental,Income,312.71,,
298,2022-01-21 23:24:51.990706,Hunting License,Expense,18.12,Hunting License,Leisure
299,2022-01-22 00:15:22.765973,Private Jet Rental,Income,351.44,Private Jet Rental,Travel
300,2022-01-22 01:11:17.845134,Birthday Gift,Income,436.73,Birthday Gift,Personal
301,2022-01-22 01:44:49.329355,Sporting Goods,Expense,102.19,Sporting Goods,Sport and Fitness
302,2022-01-22 02:43:43.416981,Video Game,Expense,353.22,Video Game,Entertainment
303,2022-01-22 03:15:21.736085,Photography Service,Expense,118.91,,
304,2022-01-22 04:06:04.612516,Investment Brokerage Fee,Expense,59.28,,
305,2022-01-22 04:31:30.645968,Optometry Visit,Income,72.97,,
306,2022-01-22 05:51:58.015647,Snowmobile Rental,Expense,151.36,Snowmobile Rental,Sport and Fitness
307,2022-01-22 07:15:51.459239,Business Supplies,Income,461.57,Business Supplies,Office Expenses
308,2022-01-22 07:55:02.985163,Department Store,Expense,373.79,Department Store,Shopping
309,2022-01-22 11:25:21.357495,Donation to Charity,Expense,345.28,,
310,2022-01-22 11:50:26.261975,Sales Tax,Income,238.02,Sales Tax,Taxes
311,2022-01-22 11:54:51.350324,Medical Checkup,Expense,180.66,Medical Checkup,Health and Wellness
312,2022-01-22 12:05:25.195598,Medical Checkup,Income,131.93,Medical Checkup,Health and Wellness
313,2022-01-22 12:30:51.068700,Garden Center,Income,183.15,Garden Center,Gardening
314,2022-01-22 15:02:51.855957,Online Course,Expense,359.73,Online Course,Education
315,2022-01-22 16:02:33.636682,Moving Service,Expense,356.33,Moving Service,Moving
