Date,Name / Description,Expense/Income,Amount (EUR)
2022-01-16 15:34:13.234854,Massage Therapy,Income,74.74
2022-01-16 15:51:15.457881,Fitness Equipment,Expense,446.45
2022-01-16 17:18:56.199049,Electrician Service,Expense,341.5
2022-01-16 18:55:34.443535,Roof Repair,Income,384.81
2022-01-17 01:33:09.640034,Home Renovation,Expense,245.81
2022-01-17 02:55:38.043801,Internet Bill,Income,6.05
2022-01-17 03:12:07.109022,Flight Ticket,Income,172.35
2022-01-17 05:02:56.233335,Bail Bond Payment,Expense,242.25
2022-01-17 07:48:53.078291,Life Insurance,Income,106.84
2022-01-17 09:18:52.737234,Outdoor Equipment,Expense,352.71
2022-01-17 10:24:11.522670,Dental Care,Expense,300.21
2022-01-17 12:59:20.179101,Medical Checkup,Income,243.21
2022-01-17 13:30:02.311392,Fishing License,Expense,68.02
2022-01-17 15:29:49.127573,Garden Center,Expense,128.81
2022-01-17 17:24:22.017296,Movie Theater,Expense,342.96
2022-01-17 17:36:15.603883,Therapist Session,Income,266.78
2022-01-17 17:53:05.196987,Phone Bill,Income,196.25
2022-01-17 18:32:18.579895,Computer Purchase,Expense,398.55
2022-01-17 20:27:49.920029,Career Counseling,Expense,196.44
2022-01-17 20:52:18.598284,Digital Download,Expense,204.89
2022-01-18 01:47:12.487392,Student Loan Payment,Income,100.92
2022-01-18 02:10:56.028151,Weekend Getaway,Expense,456.82
2022-01-18 03:23:08.968314,Investment Brokerage Fee,Income,110.79
2022-01-18 03:41:12.943924,Anniversary Gift,Income,302.92
2022-01-18 06:16:25.742308,Consulting Income,Income,205.18
2022-01-18 06:17:15.900638,Lottery Ticket,Expense,93.37
2022-01-18 06:23:53.504710,Wire Transfer Fee,Expense,261.94
2022-01-18 07:34:53.562053,Online Shopping,Expense,127.29
2022-01-18 08:37:26.318455,Resume Service,Income,274.69
2022-01-18 09:01:26.716828,Notary Service,Income,232.15
2022-01-18 10:42:17.602143,Used Car Purchase,Income,157.33
2022-01-18 12:18:56.440558,Parking Fee,Income,16.44
2022-01-18 12:54:00.814244,Insurance Payment,Income,335.96
2022-01-18 13:48:57.173856,Client Meeting Expense,Income,94.88
2022-01-18 15:50:38.638926,Course Fees,Expense,147.23
2022-01-18 16:09:23.302705,Donation to Charity,Expense,424.61
2022-01-18 16:10:45.708565,Dental Care,Expense,182.5
2022-01-18 19:07:39.605314,Garden Center,Expense,413.35
2022-01-18 23:23:17.136105,Online Marketplace,Expense,372.53
2022-01-19 00:03:24.301317,Funeral Expenses,Income,448.3
2022-01-19 00:15:05.209728,Computer Purchase,Income,117.53
2022-01-19 00:28:10.439853,Garden Center,Income,133.49
2022-01-19 01:49:25.417320,Electrician Service,Expense,449.96
2022-01-19 01:58:20.475659,Vacation Package,Expense,492.89
2022-01-19 03:30:29.442287,Hiking Gear,Income,258.31
2022-01-19 03:51:44.371592,Personal Loan Payment,Expense,373.92
2022-01-19 04:05:29.001212,Overdraft Fee,Income,78.8
2022-01-19 10:28:18.034536,Career Counseling,Income,398.47
2022-01-19 10:49:04.970144,Side Gig Income,Expense,444.01
2022-01-19 11:46:44.895201,Golf Club Membership,Expense,64.6
2022-01-19 12:38:35.393311,Hair Salon,Expense,178.85
2022-01-19 12:48:58.821085,Art Gallery Purchase,Expense,211.25
2022-01-19 13:32:24.815766,Movie Theater,Expense,372.86
2022-01-19 16:36:05.280742,Online Course,Income,380.99
2022-01-19 17:18:17.119698,Landscaping,Income,194.06
2022-01-19 19:55:20.120967,Cell Phone Purchase,Income,150.47
2022-01-19 21:51:17.134547,Court Fees,Expense,91.95
2022-01-19 22:24:26.988101,Personal Trainer,Income,330.57
2022-01-20 00:22:27.429522,Subscription Renewal,Expense,144.39
2022-01-20 02:21:50.697800,Streaming Service,Income,232.85
2022-01-20 03:12:51.520779,Photography Service,Income,457.61
2022-01-20 05:05:11.131716,Student Loan Payment,Income,195.38
2022-01-20 05:10:49.351099,Event Registration,Expense,273.77
2022-01-20 06:16:53.101251,Meal Delivery,Expense,106.79
2022-01-20 11:27:21.666215,Massage Therapy,Income,171.92
2022-01-20 11:59:54.759161,Retirement Contribution,Expense,263.65
2022-01-20 13:09:37.556759,Camera Equipment,Income,467.44
2022-01-20 13:33:59.351169,Department Store,Expense,310.86
2022-01-20 14:34:37.689924,Movie Theater,Expense,296.5
2022-01-20 21:34:42.640951,Internet Bill,Expense,81.85
2022-01-20 21:36:26.421833,Plumbing Service,Income,433.2
2022-01-20 22:25:49.945946,Trash Collection,Income,145.57
2022-01-21 02:29:12.215195,Bowling Alley,Expense,69.69
2022-01-21 04:42:44.000866,Gifts & Cards,Expense,445.72
2022-01-21 07:39:42.024054,Property Tax,Expense,388.42
2022-01-21 08:54:40.305057,Electricity Bill,Income,205.94
2022-01-21 09:14:32.770910,Pet Supplies,Expense,260.93
2022-01-21 09:29:57.600252,Dog Walker,Expense,111.56
2022-01-21 14:00:45.524817,Investment Advisor Fee,Income,298.01
2022-01-21 14:22:06.076277,HVAC Maintenance,Expense,297.32
2022-01-21 16:26:29.978195,Bank Service Charge,Expense,115.34
2022-01-21 17:37:53.273427,Business Supplies,Expense,415.25
2022-01-21 18:15:15.332152,Water Bill,Income,468.51
2022-01-21 18:34:53.741981,Streaming Rental,Income,312.71
2022-01-21 23:24:51.990706,Hunting License,Expense,18.12
2022-01-22 00:15:22.765973,Private Jet Rental,Income,351.44
2022-01-22 01:11:17.845134,Birthday Gift,Income,436.73
2022-01-22 01:44:49.329355,Sporting Goods,Expense,102.19
2022-01-22 02:43:43.416981,Video Game,Expense,353.22
2022-01-22 03:15:21.736085,Photography Service,Expense,118.91
2022-01-22 04:06:04.612516,Investment Brokerage Fee,Expense,59.28
2022-01-22 04:31:30.645968,Optometry Visit,Income,72.97
2022-01-22 05:51:58.015647,Snowmobile Rental,Expense,151.36
2022-01-22 07:15:51.459239,Business Supplies,Income,461.57
2022-01-22 07:55:02.985163,Department Store,Expense,373.79
2022-01-22 11:25:21.357495,Donation to Charity,Expense,345.28
2022-01-22 11:50:26.261975,Sales Tax,Income,238.02
2022-01-22 11:54:51.350324,Medical Checkup,Expense,180.66
2022-01-22 12:05:25.195598,Medical Checkup,Income,131.93
2022-01-22 12:30:51.068700,Garden Center,Income,183.15
2022-01-22 15:02:51.855957,Online Course,Expense,359.73
2022-01-22 16:02:33.636682,Moving Service,Expense,356.33
2022-01-22 19:05:50.698243,Wedding Gift,Expense,12.35
2022-01-22 20:31:56.271433,Restaurant Takeout,Expense,100.09
2022-01-22 22:42:03.144036,Textbooks,Expense,65.29
2022-01-23 03:18:41.789760,Plumbing Service,Income,319.69
2022-01-23 04:20:30.965235,Camera Equipment,Expense,462.58
2022-01-23 11:12:42.739694,Pet Grooming,Income,208.64
2022-01-23 12:26:49.974230,Plumbing Service,Income,448.84
2022-01-23 12:42:29.488899,Monthly Rent,Income,195.84
2022-01-23 17:07:47.872225,Day Spa,Income,293.34
2022-01-23 17:36:29.693099,Court Fees,Income,240.03
2022-01-23 19:09:56.157206,Day Spa,Expense,414.01
2022-01-23 19:43:53.457906,Clothing Store,Income,439.14
2022-01-23 20:54:58.075261,Holiday Shopping,Income,463.43
2022-01-24 00:59:16.966339,Firewood,Expense,61.41
2022-01-24 03:16:21.634910,Streaming Service,Expense,317.46
2022-01-24 03:25:24.965350,Water Bill,Income,305.03
2022-01-24 04:40:22.276741,Etsy Purchase,Income,209.06
2022-01-24 09:31:37.355790,Vet Bill,Income,164.46
2022-01-24 10:15:48.680986,Overdraft Fee,Income,455.16
2022-01-24 11:31:42.777900,Legal Fees,Expense,262.25
2022-01-24 12:40:42.954963,Subscription Box,Expense,494.12
2022-01-24 15:25:54.757201,Camera Equipment,Income,69.33
2022-01-24 17:42:57.860981,Uber Ride,Expense,250.26
2022-01-24 18:29:55.997627,Golf Club Membership,Income,285.15
2022-01-24 19:40:29.961626,Luxury Hotel Stay,Income,364.86
2022-01-24 21:44:28.872516,HVAC Maintenance,Income,304.12
2022-01-24 22:34:40.521834,Airport Parking,Income,476.09
2022-01-25 02:57:06.692993,Roof Repair,Income,65.22
2022-01-25 05:33:10.441880,Insurance Payment,Expense,375.77
2022-01-25 09:26:56.340222,ATM Fee,Income,135.33
2022-01-25 10:45:39.308086,Client Meeting Expense,Income,415.13
2022-01-25 14:58:48.467817,Freight Shipping,Income,117.52
2022-01-25 19:35:40.837920,Theater Tickets,Expense,152.26
2022-01-25 20:19:32.378509,Subscription Renewal,Expense,341.23
2022-01-26 00:52:48.975181,Business Supplies,Expense,238.01
2022-01-26 06:27:43.694585,Life Insurance,Expense,291.33
2022-01-26 09:01:32.943971,Phone Accessory,Income,64.08
2022-01-26 09:55:34.364635,Insurance Payment,Income,253.72
2022-01-26 15:04:17.564631,Retirement Contribution,Expense,145.26
2022-01-26 15:46:32.095187,Sporting Goods,Income,158.7
2022-01-26 17:38:14.394814,Vacation Package,Income,368.27
2022-01-26 22:07:37.767042,Water Bill,Income,62.55
2022-01-26 23:07:16.936777,Online Course,Expense,131.61
2022-01-27 00:31:22.568180,Outdoor Equipment,Income,390.79
2022-01-27 00:34:38.128186,Luxury Hotel Stay,Expense,5.96
2022-01-27 01:23:17.781303,Mortgage Payment,Expense,92.54
2022-01-27 03:03:26.589031,Court Fees,Expense,103.54
2022-01-27 03:32:27.091846,Hunting License,Expense,343.5
2022-01-27 05:31:32.364091,Car Loan Payment,Income,393.99
2022-01-27 05:57:13.559860,Car Repair,Expense,59.58
2022-01-27 14:21:30.815905,Spotify Subscription,Income,326.36
2022-01-27 14:46:25.987972,Plumbing Service,Income,179.68
2022-01-27 15:31:23.470052,Bowling Alley,Income,428.68
2022-01-27 17:20:19.635273,Daycare Fees,Income,71.1
2022-01-27 18:41:49.824153,Phone Accessory,Income,332.98
2022-01-27 19:47:00.841244,Job Board Fee,Expense,132.92
2022-01-27 23:25:04.200066,Pet Supplies,Income,134.87
2022-01-27 23:29:43.388367,Storage Unit Rental,Expense,368.0
2022-01-27 23:39:11.493964,Bail Bond Payment,Income,476.62
2022-01-28 00:59:31.073300,Job Training Fee,Expense,486.58
2022-01-28 04:11:06.200898,Phone Bill,Income,321.37
2022-01-28 05:51:12.408250,Online Marketplace,Income,255.98
2022-01-28 05:57:31.928546,Bicycle Repair,Income,19.42
2022-01-28 06:15:48.782951,Loan Repayment,Income,183.74
2022-01-28 06:29:43.401952,Septic Tank Service,Income,307.85
2022-01-28 06:40:12.497439,Accountant Fees,Income,50.3
2022-01-28 12:54:19.610613,Roof Repair,Expense,92.0
2022-01-28 13:58:20.029884,Etsy Purchase,Income,273.64
2022-01-28 14:29:11.760695,Daycare Fees,Expense,463.69
2022-01-28 14:51:32.266075,Computer Purchase,Expense,284.88
2022-01-28 17:23:41.505971,Walmart Groceries,Income,62.36
2022-01-28 21:52:33.598010,Legal Fees,Income,59.05
2022-01-28 23:05:28.823332,Investment Brokerage Fee,Income,414.42
2022-01-29 00:22:17.948471,Moving Service,Expense,495.72
2022-01-29 01:48:19.728368,Toll Road Fee,Income,451.81
2022-01-29 03:27:15.217352,Hunting License,Expense,377.13
2022-01-29 07:04:03.077341,Internet Bill,Expense,321.02
2022-01-29 10:10:59.623390,Hardware Store,Expense,157.62
2022-01-29 11:49:38.960349,Meal Delivery,Income,224.57
2022-01-29 12:50:55.478036,Car Loan Payment,Expense,190.24
2022-01-29 14:44:46.977916,Wedding Gift,Expense,214.74
2022-01-29 16:57:48.751263,Landscaping,Income,364.38
2022-01-29 17:01:05.730147,Electrician Service,Expense,118.43
2022-01-29 18:15:44.952254,Bank Service Charge,Expense,174.24
2022-01-29 18:53:29.556060,Coffee Shop,Expense,426.89
2022-01-29 20:58:20.678047,Real Estate Agent Fee,Expense,112.76
2022-01-29 23:22:45.187570,Gym Membership,Income,389.48
2022-01-29 23:30:28.970442,Hunting License,Income,16.68
2022-01-29 23:34:00.608295,Job Board Fee,Income,232.06
2022-01-30 00:37:45.731018,Resume Service,Income,356.02
2022-01-30 01:07:06.387727,Home Appliance,Expense,100.46
2022-01-30 01:28:36.073155,Babysitting Service,Income,229.31
2022-01-30 01:41:32.418424,Charity Event,Expense,65.95
2022-01-30 02:10:21.383189,Court Fees,Income,345.58
2022-01-30 02:12:12.312734,Phone Accessory,Expense,184.57
2022-01-30 02:44:40.069534,Amazon Purchase,Expense,191.51
2022-01-30 02:48:01.982764,Art Gallery Purchase,Expense,257.23
2022-01-30 02:56:23.274323,Event Registration,Expense,59.93
2022-01-30 04:03:56.684114,Travel Insurance,Expense,478.45
2022-01-30 05:15:20.382196,Internet Bill,Expense,8.66
2022-01-30 06:05:47.154464,Parking Fee,Expense,464.95
2022-01-30 11:11:06.995764,Savings Deposit,Income,489.34
2022-01-30 14:56:11.544273,Ski Resort,Income,492.06
2022-01-30 15:03:16.546136,Background Check,Expense,259.62
2022-01-30 19:08:14.509114,Sales Tax,Expense,391.37
2022-01-30 20:50:22.834828,HVAC Maintenance,Income,486.8
2022-01-30 21:56:29.871191,Personal Trainer,Income,463.98
2022-01-30 22:01:01.930878,Landscaping,Expense,316.67
2022-01-30 23:31:22.103818,Pest Control,Expense,225.04
2022-01-30 23:50:11.604990,Home Improvement,Expense,493.2
2022-01-31 07:39:55.530363,Subscription Box,Expense,332.04
2022-01-31 10:51:46.316257,Pet Grooming,Expense,46.07
2022-01-31 11:11:39.222319,Retirement Contribution,Expense,397.83
2022-01-31 11:19:17.095776,Roof Repair,Expense,497.86
2022-01-31 12:22:15.920719,Court Fees,Income,342.64
2022-01-31 13:41:05.184658,Overdraft Fee,Income,219.11
2022-01-31 14:27:16.140696,Sewer Bill,Expense,95.1
2022-01-31 16:36:11.309746,Real Estate Agent Fee,Expense,135.66
2022-01-31 17:54:32.839370,Pet Grooming,Income,79.17
2022-01-31 18:53:51.264453,Accountant Fees,Expense,20.49
2022-01-31 19:49:16.668142,Loan Repayment,Expense,184.28
2022-01-31 21:03:36.909884,Court Fees,Income,285.37
2022-02-01 00:32:25.189878,Funeral Expenses,Income,91.01
2022-02-01 02:39:06.651209,Pharmacy,Expense,411.18
2022-02-01 04:03:15.497017,Day Spa,Expense,184.81
2022-02-01 06:44:03.188056,Optometry Visit,Expense,36.38
2022-02-01 09:39:39.090070,Health Insurance,Income,461.7
2022-02-01 13:15:10.998534,Investment Account,Income,493.93
2022-02-01 14:23:46.361215,Investment Account,Expense,314.16
2022-02-01 16:27:28.613522,Yacht Charter,Income,402.59
